"fk_im_spec_master_desc","fk_im_spec_options_desc"
Usage,Industrial
Shape,Cylinder
Source,Electric
Frame Size,Cylinder
Motor Type,Electric
Power,All type
Application,Regular
Feature,Standard
I Deal In,New Only
Number Of Poles,As per Requirement
Power,As per customer specification
I Deal In,New Only
Features,ALL
Size,ALL
Frame Size,ANY
Size,As per requirement
Dimensions,As per requirement
Motor Voltage,"415+-10%Volts  / 50Hz+-5%"
Power,"5  hp"
Type,Induction Motors
Type,Three Phase Electric Motor
Power,"75 KW"
Power,"5  hp"
Power,"2 hp"
Power,"0.37 KW"
Power,"2 hp"
Phase,Three Phase
Horsepower,"20 HP"
Speed,"3000 rpm"
Voltage,"415 V"
No. of Poles,"4"
Brand,BLUE TON
Phase,Three Phase
Usage/Application,Industrial
Speed,"1440"
Type,AC
No. of Poles,"2"
Phase,Three Phase
Voltage,"415 V"
Voltage,"415"
Mounting Type,Foot
No. of Poles,"4"
Material,Aluminium
Horsepower,"5 HP"
Speed,"750 rpm"
Voltage,"440 V"
Warranty,"1Years"
Number Of Poles,"2"
Surface Treatment,Polished
No. of Poles,"2"
Voltage,"220 V"
Material,Ms
Country of Origin,Made in India
Surface Treatment,Color Coated
Automation Grade,Automatic
Material,MS
Number Of Poles,"2"
Frequency,"50 Hz"
Material,Copper
Power,"2 hp"
Phase,Single Phase
Speed,>14000 RPM
Mounting Type,Vertical
Brand,Crompton and bharatBijlee
Brand,Babbal motors and gajets
Phase,"3 PHASE"
Mounting Type,FOOT/FLANGE
Power,"10-100 KW"
Voltage,"220"
Mounting Type,Foot & flange  mounting
Speed,<2000 RPM
Power,"10-100 KW"
Phase,"3 phase"
Power,"0.75 KW"
Type,Copper Motor
Speed,"1440 RPM"
Voltage,"440"
Horsepower,"2 HP"
Voltage,"220 V"
Mounting Type,Foot
Power,"0.37 kW- 325 kW"
Ambient Temperature,"45 Degree celsius"
Power,"10-100 KW"
Speed,"2000-6000 RPM"
Phase,Three Phase
Brand,PBL AND SHANTHI
Material,Cast Iron Casing
Mounting Type,Any Mounting
Usage/Application,Pouch Packing Machine
Power,"0.18 KW to 90 KW"
Voltage,"415 V"
Speed,<2000 RPM
Phase,Three Phase
Voltage,"415-440"
Voltage,"23OV,415V,DC VOLTAGE ALSO"
Brand,Bharat bijlee
Mounting Type,Foot or flange
Speed,<2000 RPM
Phase,"3 phase"
Voltage,"230 V"
Power,"3 kW"
Phase,Single Phase
Speed,<2000 RPM
Brand,TAIYO ELECTRIC.MFG.CO.PVT LTD
Phase,"3 phase"
Speed,<2000 RPM
Material,Stainless Steel
Speed,All
Brand,oxford
Phase,Three Phase
Speed,<2000 RPM
Speed,"2000-6000 RPM"
Speed,"0.1 rpm to 400 rpm"
Phase,"3"
Power,"500kw"
Voltage,"440v"
Power,"5-10 hp"
Power,"5-10 HP"
Speed,"10001-14000 RPM"
Power,<10 KW
Phase,"3"
Brand,Schneider Electric
Speed,"2000-6000 RPM"
Power,"10-100 KW"
Power,<10 KW
Power,>300 KW
Phase,Three Phase
Brand,Other
Vehicle Model,"4"
Power,"201-300 KW"
Voltage,"220/440"
Ambient Temperature,No idea
Voltage,All
Power,All
Speed,"1440 rpm"
Type,Copper Motor
Phase,"3"
Speed,"500.1500"
Speed,"2000-6000 RPM"
Brand,Analysis
Phase,Single Phase
Mounting Type,"foot,flange"
Voltage,"415 volt"
Speed,<2000 RPM
Phase,"3 phase"
Brand,Crompton
Speed,"1400 RPM"
Frame Size,All Size avaliavle
Number Of Poles,"2"
Frequency,"50Hz"
Frequency,"50 hz"
Usage/Application,Industrial
Number Of Poles,"2"
Motor Type,AC
Features,IE2/IE3
Frequency,"50 Hz"
Number Of Poles,"4"
Capacity,Highly durable
Size,Industrial Electric Motor
Surface Treatment,Industrial Electric Motor
IP Rating,IP55
Number Of Poles,"2"
Frame Size,Industrial Electric Motor
Shape,Industrial Electric Motor
Color,GREY
Country of Origin,Made in India
Customized,Internal & External features
Frame Size,ALL STANDARD FRAME SIZE
Usage/Application,Industrial
Frequency,"50 Hz"
Usage/Application,All Power transmission Equipment
Usage/Application,"INDUSTRY,MANUFACTURING"
Warranty,"1 YEAR"
Mounting,FOOT
Body Material,Iron
Number Of Poles,Multi-Pole
Duty,S3
Material,Cast Iron
Dimensions,"22 x 20 x 22 Centimeters"
Speed,"10001-14000 RPM"
No. Of Poles,"4"
Insulation Type,Class H
Number Of Poles,"2"
Country of Origin,Made in India
Material,Stainless Steel
Commutation,Brush
Insulation Type,Class F
Frequency,"50 Hz"
Usage/Application,Industrial
Commutation,Brush
Speed,"500-1500 RPM"
Speed,<2000 RPM
Type of Motor,AC
Frequency (Hertz),"50-60 Hz"
Voltage (Volt),"380-415 V"
Speed,"2880 rpm"
Material of Construction,Cast Iron
Type of Motor,AC
Is It Customized,Customized
Current,"1450 Amp"
Insulation Type,Class F
I Deal In,New Only
Mounting Type,Foot Mount
Speed,"2000-6000 RPM"
Speed,"500-1500 RPM"
Speed,"2000-6000 RPM"
Speed,"<2000 RPM,>14000 RPM"
Type of Motor,AC
No. Of Poles,"6"
Power,<10 KW
Power,<10 KW
Usage/Application,Industrial
Power,"2.2 KW"
Brand,Motori Bonora
Power,"20 hp"
Power Source,ac
Type of Motor,AC
Frame Size,"160"
Frame,"160"
Phase,Both
Number Of Poles,"4"
Payment Mode,Offline/Online
Service Location,India
Rated Voltage,"220/110V DC"
IP Rating,IP55
Application,industries
Portable,No
Frequency,"60 Hz"
Usage,"Used To Create The Power To Run Conveyors, Pumps, Air Moving Systems, And Many Other Needs"
Insulation Class,Type B
No. Of Poles,"2, 4"
Voltage (Volt),"220"
Frequency (Hertz),"50"
Service Mode,Offline
Power,"5  hp"
Power,"2 hp"
Speed,"2800 rpm"
Power,"37 KW"
Power,"5  hp"
Power,"5 hp"
Power,"1 hp"
Power,"7.5 hp"
Brand,MARUYASU
Horsepower,"10 HP"
Voltage,"415 V"
Speed,"1500 rpm"
Speed,"3000 RPM"
Speed,"1440RPM"
Brand,Crompton
Automation Grade,Manual
Brand,SPG
Usage,Power
Power,"5  hp"
Power,"7.5 hp"
Power,"44 KW"
Power,"1 HP"
Speed,"750 rpm"
Usage/Application,Industrial
Voltage,"415 V"
Horsepower,"0.5 HP"
Speed,"1440 rpm"
Mounting Type,Flange
Phase,Three Phase
No. of Poles,"6"
Number Of Poles,"2"
Shape,CIRCLE
Frame Size,"71 to 280"
I Deal In,New Only
Features,Preferred for printing press machine
Number Of Poles,"2"
Number Of Poles,"2"
Number Of Poles,"4"
Number Of Poles,"2"
Number Of Poles,"2"
Number Of Poles,"1"
Shape,Rectangular
Surface Treatment,Polished
No of Phase,Three Phase
Number Of Poles,"4"
Bearing Type,Ball Bearing
Automation Grade,Manual
Motor Brand,Crompton Greaves/Bharat Bijlee/Marathon/Siemens
Frequency,"50/60"
Material,Mild Steel
Number Of Poles,"4"
Number Of Poles,"4"
Frame Size,"63F to 250F"
Mounting Type,Flange
I Deal In,New and Second Hand
Usage/Application,Commercial
Number Of Poles,"2"
Country of Origin,Made in India
Frame Size,P71
Number Of Poles,"4"
I Deal In,New Only
Material,Cast Iron
Country of Origin,Made in India
Usage/Application,Industrial Machines / AGV / Speed Gate
Design Type,Wtc
Usage/Application,Diamond Industry
Size,"2P, 4P, 6P, 8P"
Surface Treatment,Painted
Automation Grade,Automatic
Material,Mild Steel
Number Of Poles,"2"
Rated Power,<10 KW
Brand,S.V TRANSMISSION
Color,Blue
Condition,New
Color,Grey
"1750 rpm","1.5 hp 180 volt"
Ambient Temperature,"45 degree C"
IP Degree of Protection,IP55
Brand,Balaji Engineering
Frame Size,"71-315"
Power :,"2.6-5 hp"
Model,CBX-S-3-30-45-IV-50-A
