success,query,gemini_dataset_attr_count,gemini_dataset_isq_list,gemini_dataset_isq_pipe,gemini_dataset_raw_output
True,assam tea 500 gm pack,5,"['in the format ""value:attribute_name:specification"".', 'attributes.append(""assam:origin:specification"")', 'attributes.append(""tea:product:specification"")', 'attributes.append(""500 gm:weight:specification"")', 'attributes.append(""pack:packaging:specification"")']","in the format ""value:attribute_name:specification"". | attributes.append(""assam:origin:specification"") | attributes.append(""tea:product:specification"") | attributes.append(""500 gm:weight:specification"") | attributes.append(""pack:packaging:specification"")","```python
def extract_attributes(query):
    """"""
    Extracts product attributes from a query.

    Args:
        query: The product query string.

    Returns:
        A list of strings, where each string is an attribute-value pair
        in the format ""value:attribute_name:specification"".
        Returns an empty list if no attributes are found.
    """"""
    query = query.lower()
    attributes = []

    # Define attribute extraction patterns (expand as needed)
    if ""assam tea"" in query:
        attributes.append(""assam:origin:specification"")
        attributes.append(""tea:product:specification"")
    if ""500 gm"" in query:
        attributes.append(""500 gm:weight:specification"")
    if ""pack"" in query:
        attributes.append(""pack:packaging:specification"")

    return attributes
```"
True,premium assam tea loose leaf,3,"['[""assam:origin:specification""', '""tea:product:specification""', '""loose leaf:form:specification""]']","[""assam:origin:specification"" | ""tea:product:specification"" | ""loose leaf:form:specification""]","```python
[""assam:origin:specification"", ""tea:product:specification"", ""loose leaf:form:specification""]
```"
True,organic assam tea black tea,4,"['[""organic:type:specification""', '""assam:origin:specification""', '""tea:product:specification""', '""black tea:type:specification""]']","[""organic:type:specification"" | ""assam:origin:specification"" | ""tea:product:specification"" | ""black tea:type:specification""]","```python
[""organic:type:specification"", ""assam:origin:specification"", ""tea:product:specification"", ""black tea:type:specification""]
```"
True,assam tea gift box 1 kg,4,"['[""assam:origin:specification""', '""tea:product:specification""', '""gift box:packaging:specification""', '""1 kg:weight:specification""]']","[""assam:origin:specification"" | ""tea:product:specification"" | ""gift box:packaging:specification"" | ""1 kg:weight:specification""]","```python
[""assam:origin:specification"", ""tea:product:specification"", ""gift box:packaging:specification"", ""1 kg:weight:specification""]
```"
True,best quality assam tea online,0,[],,"```python
[]
```"
True,assam tea ctc grade,3,"['[""assam:origin:specification""', '""tea:product:specification""', '""ctc:grade:specification""]']","[""assam:origin:specification"" | ""tea:product:specification"" | ""ctc:grade:specification""]","```python
[""assam:origin:specification"", ""tea:product:specification"", ""ctc:grade:specification""]
```"
True,assam tea green pack 250 gm,4,"['[""assam:origin:specification""', '""tea:product:specification""', '""green:color:specification""', '""250 gm:weight:specification""]']","[""assam:origin:specification"" | ""tea:product:specification"" | ""green:color:specification"" | ""250 gm:weight:specification""]","```python
[""assam:origin:specification"", ""tea:product:specification"", ""green:color:specification"", ""250 gm:weight:specification""]
```"
True,assam tea with cardamom flavor,3,"['[""assam:origin:specification""', '""tea:product:specification""', '""cardamom:flavor:specification""]']","[""assam:origin:specification"" | ""tea:product:specification"" | ""cardamom:flavor:specification""]","```python
[""assam:origin:specification"", ""tea:product:specification"", ""cardamom:flavor:specification""]
```"
True,assam tea premium blend,0,[],,"```python
[]
```"
True,assam tea wholesale price,0,[],,"```python
[]
```"
True,mango bags jute material,3,"['[""mango:product:specification""', '""jute:material:specification""', '""bags:product type:specification""]']","[""mango:product:specification"" | ""jute:material:specification"" | ""bags:product type:specification""]","```python
[""mango:product:specification"", ""jute:material:specification"", ""bags:product type:specification""]
```"
True,mango bags for storage,0,[],,"```python
[]
```"
True,mango bags plastic 5 kg capacity,4,"['[""mango:product:specification""', '""bags:product type:specification""', '""plastic:material:specification""', '""5 kg:capacity:specification""]']","[""mango:product:specification"" | ""bags:product type:specification"" | ""plastic:material:specification"" | ""5 kg:capacity:specification""]","```python
[""mango:product:specification"", ""bags:product type:specification"", ""plastic:material:specification"", ""5 kg:capacity:specification""]
```"
True,eco friendly mango bags,3,"['[""eco friendly:type:specification""', '""mango:material:specification""', '""bags:product:specification""]']","[""eco friendly:type:specification"" | ""mango:material:specification"" | ""bags:product:specification""]","```python
[""eco friendly:type:specification"", ""mango:material:specification"", ""bags:product:specification""]
```"
True,printed mango bags wholesale,4,"['[""printed:style:specification""', '""mango:design:specification""', '""bags:product:specification""', '""wholesale:sales type:specification""]']","[""printed:style:specification"" | ""mango:design:specification"" | ""bags:product:specification"" | ""wholesale:sales type:specification""]","```python
[""printed:style:specification"", ""mango:design:specification"", ""bags:product:specification"", ""wholesale:sales type:specification""]
```"
True,mango bags with handles,0,[],,"```python
[]
```"
True,mango bags net type,0,[],,"```python
[]
```"
