query,gt_attr_count,qmeans_attr_count,gt_attributes,qmeans_attributes,matched_key_count,key_match_rate_%,matched_keys,matched_key_priorities,value_match_count,value_match_rate_%,matched_values_detail,value_mismatch_detail,missing_gt_keys,missing_key_priorities,extra_qmeans_keys,extra_qmeans_key_count,critical_missing_key,assessment
Cooler Motor,1,2,usage=cooler,usage=cooler; part type=motor,1,100.0,usage,usage(P9),1,100.0,usage: GT=cooler | QM=cooler,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Actuators,1,0,product_type=actuator,(empty),0,0.0,(none),(none),0,0.0,(none),(none),product_type=actuator,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
130 Flat Motor,1,1,product_type=motor,model number=130,0,0.0,(none),(none),0,0.0,(none),(none),product_type=motor,product_type(P6),(none),0,product_type(P6),NO_KEY_MATCH
ap fan motor & fresh air moter,1,1,usage=fan,brand=ap,0,0.0,(none),(none),0,0.0,(none),(none),usage=fan,usage(P9),(none),0,usage(P9),NO_KEY_MATCH
a.c. induction motor,1,1,motor_type=induction motor,motor type=induction,1,100.0,motor_type,motor_type(P2),1,100.0,motor_type: GT=induction motor | QM=induction,(none),(none),(none),(none),0,(none),PERFECT_MATCH
Siemens Sipart Ps2 Positioner Model 6dr5,3,2,brand=Siemens; product_type=valve positioner; model_number=6DR5,model name/number=6dr5; brand=siemens,2,66.7,brand; model_number,brand(P1); model_number(P5),2,66.7,brand: GT=Siemens | QM=siemens; model_number: GT=6DR5 | QM=6dr5,(none),product_type=valve positioner,product_type(P6),(none),0,product_type(P6),PARTIAL_MATCH
Ac Outdoor Fan Motor,2,3,motor_type=AC motor; usage=fan,motor type=ac; part type=motor; usage=outdoor,2,100.0,motor_type; usage,motor_type(P2); usage(P9),1,50.0,motor_type: GT=AC motor | QM=ac,usage: GT=fan | QM=outdoor,(none),(none),(none),0,(none),ALL_KEYS_MATCHED_SOME_VALUES_DIFFER
siemens-electric-motors,1,0,brand=Siemens,(empty),0,0.0,(none),(none),0,0.0,(none),(none),brand=Siemens,brand(P1),(none),0,brand(P1),NO_KEY_MATCH
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,4,4,brand=Siemens; power=1 KW; motor_type=servo motor; model_number=1FK2104-6AF01-1MB0,power=1 kw; model name/number=1fk2104-6af01-1mb0; usage=servo motor; brand=siemens,3,75.0,brand; power; model_number,brand(P1); power(P3); model_number(P5),3,75.0,brand: GT=Siemens | QM=siemens; power: GT=1 KW | QM=1 kw; model_number: GT=1FK2104-6AF01-1MB0 | QM=1fk2104-6af01-1mb0,(none),motor_type=servo motor,motor_type(P2),(none),0,motor_type(P2),PARTIAL_MATCH
yako tech ms s3,1,1,brand=Yako,model name/number=ms s3,0,0.0,(none),(none),0,0.0,(none),(none),brand=Yako,brand(P1),(none),0,brand(P1),NO_KEY_MATCH
