section,item,status,key_precision,key_recall,key_f1,key_value_precision,key_value_recall,key_value_f1,notes
standalone_baseline,qmeans,completed,0.9595,0.2982,0.4550,0.1266,0.0393,0.0600,Best standalone broad key coverage baseline on the trusted 1k priority benchmark
standalone_priority_model,gemma_v7_priority,completed,0.6049,0.1915,0.2909,0.3228,0.1022,0.1552,Best standalone priority model so far; strongest exact key+value quality among priority models
standalone_priority_model,gemma_v8_priority,completed,0.6112,0.0912,0.1588,0.4125,0.0616,0.1072,Higher-capacity plus added gold supervision underperformed V7
standalone_priority_model,gemma_v9_priority,completed,0.7755,0.0245,0.0475,0.4388,0.0139,0.0269,Stronger gold weighting sharply reduced recall
standalone_priority_model,gemma_v10_priority_clean,completed,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Clean-schema-only alignment collapsed extraction on the trusted benchmark
serving_system,hybrid_v7_plus_qmeans_fallback,completed,0.7560,0.4246,0.5438,0.2394,0.1344,0.1722,Best current overall result; keeps V7 priority-ordered output and fills missing attributes from qmeans when reachable
standalone_priority_model,gemma_v11_priority_balanced,completed,0.7947,0.3182,0.4544,0.3543,0.1418,0.2026,"V11 beats V7 on both standalone metrics, but qmeans still leads on key F1. V11 also beats qmeans on key+value F1."
paper_status,research_paper_draft_v2,ready,,,,,,,Internal paper updated through V11 plus hybrid serving result; ready for senior review but not yet external submission
deployment_caveat,qmeans_endpoint,monitoring,,,,,,,Best serving accuracy depends on qmeans endpoint reachability; local check succeeded on 11 May but the remote training server timed out against the same endpoint
deployment_workaround,split_hybrid_launcher,ready,,,,,,,Use inference_priority_split_hybrid.py to run V7 on the remote GPU box and qmeans locally
training_status,gemma_v11_priority_balanced,completed,,,,,,,"Pipeline completed on 11 May; final standalone metrics recorded in the gemma_v11_priority_balanced row. V11 beats V7 on both standalone metrics, but qmeans still leads on key F1. V11 also beats qmeans on key+value F1."
