Key,Value
Voltage,220V
Material,MS Steel
Voltage,220
Phase,Three Phase
Voltage,415V AC
Phase,Single Phase
Brand,POWER Technology
Brand,Crompton Greaves
Power,2.00 HP
Brand,TEMPORITI
Brand,Bonfiglioli
Power,1.5 HP
Brand,Crompton
Brand,Marsh
Brand/Make,Hulk Lokpal
Brand,Tower Pro
Brand,LG
Material,Cast Iron
Motor Brand,rexnord
No of Poles,4
Brand,ABB
Brand,BELKO
IP Rating,IP44
Brand,HELICAL GEAR
Brand,SunRobotics
Model Number,G10SS
Speed,1000 to 4000 RPM
Brand,Crouzet
Load Capacity,2000 N
Power,5 W
Speed,2800 rpm
Bristle Material,Carbon Steel
Power,0.017 to 18.3 kw
Power,0.12 KW
Power,37 KW
Power,1.5 KW
Power,2.2 KW
Power,0.37 KW
Power,600 W
Size,7 mm
Power,0.25 KW
Power,7.5 hp
Load Capacity,10 N
Wattage,< 10 KW
Power,50 watt
Weightlifting Capacity,200 Kg
Power,110 kW
Usage/Application,Slip ring Applications
Length,0.3 inch
Voltage,6 V
Power,0.18 KW
Type,Unipolar
Power,495W
Power,3000watt or 3kw
Power,251 W
Power,750 W to 3.7 kw
Power,250 W
Type of Induction Motors,Three Phase Induction Motors
Power,10 KW
Length,0.5 inch
Weightlifting Capacity,800 Kg
Power,60 W
Power,55 KW
Wattage,> 200 KW
Power,500 W
Motion Type,Rotary
Power,2 HP
Power,50 W
Power,120 W
Power,180 W
Power,1 KW
Power,95 W
Material,Aluminium
Power,75 KW
Rated Speed,1200 RPM
Speed,3000 rpm
Power,5 KW
Power,7.5 kW
Power,3 KW
Power,5 HP
Power,0.55 KW
Length,1.0 inch
Power,100W
Power,40W
Power,3500W
Power,0.05 KW
Speed,1500 rpm
Power,3 HP
Power Rating,6 HP
Voltage,440V
Power,"GV 30W to 130W & KV 50W to 750W, GP 30W to 130W"
Power,1250 watt
Power,1000KV
Power,750 W
Power,1.1 KW
Power,3.7 KW
Size,42 mm
Type of Induction Motors,Single Phase Induction Motors
Power,20 KW
Power,12v dc
Power Rating,5 HP
Power,20 HP
Type,Helical
Type,Pneumatic
Power,300 W
Type,Worm
Type,Single Phase Electric Motor
Actuators Type,Electric Actuators
Power,75 W
Material,Mild Steel
Power,200 W
Power,0.75 KW
Power,3 W
Power,550 W
Power,40 W
Weightlifting Capacity,1000 Kg
Gate Weight Capacity,200 Kg
Horsepower,300-470 HP
Power,4KGCM
Material,Iron
Power,1 HP
Power,100 KW
Power,2 KW
Current,25 A
Voltage,12 V
Material,Stainless Steel
Power,50-150 W
Power,150 kW
Power,24 w
Rated Load,100 lb
Grade,FR 4
Power,25 W
Power,90 W
Power,150 W
Power,15 KW
Power,1000 W
Power,0.12 HP
Brand,Motovario
Brand,Star Trace
Power Capacity,1.5 HP
Automation Grade,Automatic
IP Rating,IP55
Brand,Allen Bradley
Brand,MITSUBISHI
Brand,Nelson
Power,<5 hp
Brand,Makage
Brand,Oli
Power(HP),0.5 - 5 HP
Brand,Hindustan
Voltage,415V
Brand,MACWEL
Brand,BBL
Power,2.5 HP
Power,0.18 to 9.32 kW
Power,<10 KW
Motion Control,Linear
Material,Copper
Power,70 W
Display Size,4 Inch
Length,2 m
Type,AC
Power,10 W
Motion Control,Rotary
Voltage,24 V
Power,>350 W
Power,900
Voltage,240V
Power,0.1 KW
Usage/Application,Automobiles
Length,5.0 inch
Power,0.25 HP
Weightlifting Capacity,600 Kg
Power,15 W
Speed,45000 RPM
Grade,Electro Graphite
Speed,720 rpm
Power,30 W
Speed,2000 rpm
Power,20kW
Power,900 W
Part Type,BLDC Motor
Power,350 W
Power,>250 W
No. of axis,1-axis
Power,12kW
Speed,6000 rpm
Power,180
Power,18W - 55W
Power,<50W
Power,660W
Load Capacity,500 N
Power,< 10 KW
Power,0.37kW
Tank Capacity,16
Rated Speed,400 RPM
Age Group,above 18
Weightlifting Capacity,2000 Kg
Power,11 KW
Type,Electro-Pneumatic
Max. Print Speed(sqft/hr),5000
Speed,300 rpm
Power,0.2 KW
Load Capacity,50 N
Length,2.0 inch
Material,Metal
Speed,1500-8000rpm
Power,22 KW
Power,3 PH
Sizes,16 Feet
Type,Centrifugal Fan
Material,Alluminium
Power,100-1000 KW
Power,0.5 HP
Capacitance,36 MFD
Fan Size,18 Inch
Power,5.5 KW
Type,Bipolar
Size,90 mm
Speed,4500 rpm
Phase,Three
Voltage,220 V
Power,0.18 HP
Power,0.17kw to 18.3 kw
Power,1.5kW
Type,Dc Motor
Load Capacity,400 N
Power,11kw
Power,0.17 KW TO 10KW
Type,Three Phase Electric Motor
Fan Size,6 Inch
Power,0.4 KW
Type,Exhaust Fan
Power,6 W
Rated Speed,90 RPM
Power,Three Phase
Gate Weight Capacity,600 Kg
Voltage,6V
Power,5  hp
Load Capacity,2000 Kg
Voltage,12V
Voltage,3.7 V
Power,93Watt to 235Watt
Power,150Watt to 1400Watt
Voltage,12V - 24V - 36V - 48V
Power,232 Kw
Voltage,220 V DC
Power,1100 kw
Voltage,200 V
Voltage,24 VDC
Voltage,24V
Voltage,48 Volte
Power,12k w
Voltage,180 V
Power,2000W
Power,800
Voltage,3V - 12V
Voltage,36V
Voltage,Min-24V & Max-60V
Power,200W
Power,80 Watt
Voltage,250v
Power,150W
Power,0.50 HP
Voltage,Greter Than 500V
Voltage,up to 520-600 V
Voltage,12 bolt
Voltage,110 Volts
Power,200~400W
Power,0.8A
Voltage,50 VOLT / KRPM
Voltage,12V 24V
Power,50W
Voltage,230VACDC
Power,180W
Voltage,220 vac/dc
Voltage,3V
Voltage,230V
Gate Weight Capacity,3000 Kg
Load Capacity,1000 N
Power Source,Electric Motor
Encoder Type,Absolute
Power,0.5 hp to 3.0 hp
Power,0.09 KW
Power,15w
Power,220 hp
Load Capacity,200 N
Wattage,7.5 KW
Power,1.5 hp (1.1 kW)
Power,0.5 to 20.0 HP
Load Capacity,3000 Kg
Power,DEPENS ON MODEL
Power,2hp
Power,3hp
Type,Analog
Power,9.3
Power Rating,2 HP
Brand,Panasonic
Model Name/Number,MSMD011P1
Speed,500-1000 RPM
Usage/Application,Industrial
Speed,1440 rpm
Phase,Single & Three
Model No.,JD42STH38
Brand,ABB-KIC
Speed,750 rpm
Brand,Siemens
Brand,STAFFA
No. of Poles,4 Pole
Phase,3 Phase
Stroke Length,4
Type,Servo Motor
Horsepower,1 HP
Type,Copper Motor
Voltage,415 V
Brand,Aadarsh
Brand,kosmak
Brand,sew
Bristle Stiffness,Medium
Brush Length,Average
Power,>7.5 hp
Brand,Deltron
Ambient Temperature,-20 to +70 deg C
Voltage,90V - 110V - 22V
Voltage,12VDC TO 180VDC
Power,400W
Voltage,100V
Power,1kW-100kW
Voltage,1000 kv
Power,10kW
Voltage,12V DC
Voltage,3 V-5V
Voltage,160
Voltage,12 V DC
Power,12 V DC
Voltage,48V
Power,1000W
Power,1.5 to 7.5 kW
Power,900 Watts
Voltage,220 V AC/DC
Power,2.0 HP
Voltage,220VAC
Power,100 W
Voltage,230V ~ +-10%
Power,4.0 W
Voltage,3V to 9V
Power,160 W
Voltage,60
Voltage,2S - 4S
Voltage,230 vAC
Voltage,9V
Power,770W
Voltage,110/125V AC/DC
Voltage,100 V
Voltage,230 V
Gate Weight Capacity,500 Kg
Power,33kV
Gate Weight Capacity,10000 Kg
Input Phase,3 - Phase
Material,Plastic
Power,50 HP
Power,60 HP
Power,0.37 to 7.5
Speed,960 rpm
Application,Angle Grinder
Load Capacity,20 N
Power,0.07 KW
Power,3 hp (2.2 kW)
Load Capacity,3000NM
Gate Weight Capacity,1000 Kg
Weightlifting Capacity,1500 Kg
Rated Speed,800 RPM
Fan Size,12 Inch
Switch Type,Rotary
No Of Phase,Single Phase
Brand,Daikin
Speed At Rated Load,0.6
Valve Motion,Rotary Motion Valve
Voltage,440
Speed,500 RPM
Brand,Bonvario
