query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9,qmeans_attr_key_10,qmeans_attr_value_10,gemini_attr_key_10,gemini_attr_value_10
1 ton herbal extraction plant hdpe body,3,4,capacity,1 ton,capacity,"""1 ton",material,hdpe,material,hdpe,usage,herbal extraction,part,body,,,usage,herbal extraction,,,,,,,,,,,,,,,,,,,,,,,,
1 ton semi-automatic gold refining machine,3,3,automation grade,semi-automatic,automation,semi-automatic,capacity,1 ton,capacity,1 ton,usage,gold refining,usage,gold refining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 ton single phase silver refining plant,3,3,capacity,1 ton,capacity,1 ton,phase,single phase,material,silver,type,refining plant,type,refining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 ton xlpe cable extruder,2,3,capacity,1 ton,capacity,1 ton,material,xlpe,material,xlpe cable,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 tpd automatic polymer extruder,4,4,automation grade,automatic,capacity,1 tpd,capacity,1 tpd,feature,automatic,material,polymer,material,polymer,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
1 tpd epe foam extruder cast iron body,3,5,capacity,1 tpd,capacity,"""1 tpd",material,cast iron,material,epe foam,usage,epe foam extruder,material,cast iron,,,part,body,,,type,extruder,,,,,,,,,,,,,,,,,,,,
10 kg semi-automatic oil extraction plant 400 v three phase pvc body,6,7,capacity,10 kg,capacity,"""10 kg",material,pvc,material,pvc,operation type,semi-automatic,part,body,phase,three phase,power,three phase,usage,oil extraction,type,semi-automatic,voltage,400 v,usage,oil extraction,,,voltage,400 v,,,,,,,,,,,,
10 kg/hr 1 phase foam extruder,3,4,capacity,10 kg/hr,capacity,"""10 kg/hr",phase,1 phase,material,foam,type,extruder,power,1 phase,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
10 kg/hr 3 phase jockey extruder,4,4,brand,jockey,capacity,10 kg/hr,capacity,10 kg/hr,power,3 phase,phase,3 phase,type,jockey,type,extruder,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,
10 kg/hr fully automatic hydro extractor,3,3,automation grade,automatic,capacity,10 kg/hr,capacity,10 kg/hr,feature,fully automatic,product,hydro extractor,type,hydro extractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 kg/hr ldpe blown film machine,2,3,capacity,10 kg/hr,capacity,10 kg/hr,material,ldpe,material,ldpe,,,type,blown film,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 kg/hr twin screw extruder,1,3,capacity,10 kg/hr,capacity,10 kg/hr,,,type,twin screw,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 ton manual solid phase extraction system,3,3,automation grade,manual,capacity,10 ton,capacity,10 ton,operation,manual,product,solid phase extraction,type,solid phase extraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 ton metal refining plant cast iron body,3,3,capacity,10 ton,capacity,"""10 ton",material,cast iron,material,cast iron,usage,metal refining plant,usage,metal refining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 ton monolayer extruder ss 304 body,3,5,capacity,10 ton,capacity,"""10 ton",material grade,ss 304,material,ss 304,type,extruder,part,body,,,type,monolayer,,,type,extruder,,,,,,,,,,,,,,,,,,,,
10 tpd 1 phase conical twin screw extruder,3,5,capacity,10 tpd,capacity,10 tpd,phase,1 phase,phase,1 phase,shape,conical,screw type,twin screw,,,shape,conical,,,type,extruder,,,,,,,,,,,,,,,,,,,,
10 tpd automatic plastic recycling extruder,4,5,automation grade,automatic,capacity,10 tpd,capacity,10 tpd,feature,automatic,type,extruder,material,plastic,usage,plastic recycling,type,extruder,,,usage,recycling,,,,,,,,,,,,,,,,,,,,
10 tpd fully automatic silver refinery machine,3,4,automation grade,automatic,capacity,10 tpd,capacity,10 tpd,feature,fully automatic,usage,silver refinery,type,refinery,,,usage,silver,,,,,,,,,,,,,,,,,,,,,,,,
10 tpd pvc extruder cast iron body,2,5,capacity,10 tpd,capacity,"""10 tpd",material,cast iron,material,pvc,,,material,cast iron,,,part,body,,,type,extruder,,,,,,,,,,,,,,,,,,,,
