keyword,api_mcat_name,api_mcat_id,api_accuracy,trans_mcat_name,trans_mcat_id,trans_vs_api_id,trans_vs_api_name,unsloth_mcat_name,unsloth_mcat_id,unsloth_vs_api_id,unsloth_vs_api_name,trans_vs_unsloth_id,all_three_agree
Cooler Motor,Cooler Motor,52897,High,Cooler Motor,52897,MATCH,MATCH,Cooler Motor,52897,MATCH,MATCH,MATCH,YES
Actuators,Actuators,3148,High,Valve Actuators,40795,DIFF,DIFF,Valve Actuators,40795,DIFF,DIFF,MATCH,NO
130 Flat Motor,DC Motor,445,Medium,Cooler Motor,52897,DIFF,DIFF,Cooler Motor,52897,DIFF,DIFF,MATCH,NO
ap fan motor & fresh air moter,Fan Motor,28231,High,Fan Motor,28231,MATCH,MATCH,Fan Motor,28231,MATCH,MATCH,MATCH,YES
a.c. induction motor,AC Induction Motor,21550,High,AC Induction Motor,21550,MATCH,MATCH,AC Induction Motor,21550,MATCH,MATCH,MATCH,YES
Siemens Sipart Ps2 Positioner Model 6dr5,Pneumatic Positioner,20641,High,Siemens Actuators,203382,DIFF,DIFF,Siemens Actuators,193967,DIFF,DIFF,DIFF,NO
Ac Outdoor Fan Motor,AC Fan Motor,146600,High,AC Fan Motor,146600,MATCH,MATCH,AC Fan Motor,146600,MATCH,MATCH,MATCH,YES
siemens-electric-motors,Siemens Electric Motor,184089,High,Siemens Electric Motor,184089,MATCH,MATCH,Siemens Electric Motor,184089,MATCH,MATCH,MATCH,YES
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,Siemens Servo Motors,184102,High,Siemens Servo Motors,184102,MATCH,MATCH,Siemens Servo Motors,184102,MATCH,MATCH,MATCH,YES
yako tech ms s3,AC Servo Motor,14970,Medium,Servo Motor,448,DIFF,DIFF,Cooler Motor,52897,DIFF,DIFF,DIFF,NO
brushless dc motor,Brushless DC Motor,15240,High,Brushless DC Motor,15240,MATCH,MATCH,Brushless DC Motor,15240,MATCH,MATCH,MATCH,YES
