query,norm_attributes_json
Cooler Motor,"{""feature"": ""Cooler Motor""}"
Actuators,"{""actuators"": ""Actuators""}"
130 Flat Motor,"{""value"": ""130"", ""motor"": ""Flat Motor""}"
ap fan motor & fresh air moter,"{""features"": ""fresh air"", ""power_source"": ""fan motor &"", ""brand_or_type"": ""ap fan motor &""}"
a.c. induction motor,"{""motor_type"": ""a.c. induction motor""}"
Siemens Sipart Ps2 Positioner Model 6dr5,"{""model_number"": ""Ps2 Positioner Model 6dr5"", ""brand"": ""Siemens Sipart""}"
Ac Outdoor Fan Motor,"{""fan"": ""Outdoor Fan"", ""power source"": ""Ac"", ""motor"": ""Fan Motor""}"
siemens-electric-motors,"{""brand"": ""siemens-electric-motors""}"
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,"{""motor_type"": ""SERVO MOTOR"", ""brand"": ""SIEMENS SIMOTICS S-1FK2"", ""power"": ""1 kW"", ""model_number"": ""1FK2104-6AF01-1MB0"", ""series"": ""SERVO""}"
yako tech ms s3,"{""brand"": ""yako tech"", ""model_number"": ""ms s3""}"
brushless dc motor,"{""motor_type"": ""brushless dc motor""}"
ABB Electric Motor,"{""motor"": ""ABB Electric Motor""}"
sensor plate,"{""type"": ""sensor plate""}"
electronic components bo moters,"{""components"": ""electronic components"", ""power source"": ""bo moters""}"
1500 kv ccw multirotor motor,"{""voltage"": ""1500 kv"", ""motor"": ""motor"", ""attributes"": ""ccw multirotor""}"
Panasonic Geared Motor,"{""motor_type"": ""Geared Motor"", ""brand"": ""Panasonic""}"
worm geared brake motor,"{""mechanism"": ""worm geared brake motor""}"
eletical motors 40hp,"{""power"": ""40hp"", ""type"": ""eletical motors""}"
Rotomotive Induction Motor 3 Phase,"{""motor_type"": ""Induction Motor"", ""phase"": ""3 Phase"", ""brand"": ""Rotomotive""}"
100 W Chimney Motor,"{""power"": ""100 W"", ""motor"": ""Chimney Motor""}"
1 for reselling piece Panasonic Geared Motor,"{""motor_type"": ""Geared Motor"", ""brand"": ""Panasonic"", ""quantity"": ""1 for reselling piece""}"
Motor Cover,"{""attribute"": ""Motor Cover""}"
b04420065,"{""query_id"": ""b04420065""}"
1 piece Slip Rings,"{""rings"": ""Slip Rings"", ""quantity"": ""1 piece""}"
venex 3 phase dol motor starter,"{""motor"": ""dol motor starter"", ""phase"": ""3 phase"", ""brand"": ""venex""}"
Used Crompton Greaves Motor,"{""condition"": ""Used"", ""brand"": ""Crompton Greaves"", ""power source"": ""Motor""}"
Mobile Starter Prime,"{""starter"": ""Prime"", ""mobility"": ""Mobile Starter""}"
1kw( 1.3hp) bldc motor,"{""motor_type"": ""bldc motor"", ""power"": ""1kw( 1.3hp)""}"
1kw( 1.3hp) bldc motor near jharsuguda,"{""motor_type"": ""bldc motor"", ""power"": ""1kw( 1.3hp)"", ""location"": ""near jharsuguda""}"
spg motor,"{""motor"": ""spg motor""}"
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,"{""motor"": ""motor"", ""horsepower"": ""5 hp"", ""rpm"": ""1450"", ""phase"": ""3 phase"", ""brand"": ""crompton greaves"", ""mount"": ""foot mount"", ""power_consumption"": ""3.70 kw""}"
Vacuum Cleaner Motors,"{""type"": ""Vacuum Cleaner"", ""power source"": ""Motors""}"
Siemens Electric Three Phase Motor,"{""motor_type"": ""Siemens Electric Three Phase Motor""}"
panasonic gear box MY9G30B,"{""brand"": ""panasonic"", ""model_number"": ""MY9G30B"", ""type"": ""gear box""}"
Three Phase Dol Starter (elcw-s-digi),"{""phase"": ""Three Phase"", ""model_number"": ""Dol Starter (elcw-s-digi)""}"
Motor Plate,"{""part"": ""Plate"", ""power_source"": ""Motor""}"
three phase dol dry run motor starter,"{""power_source"": ""three phase"", ""motor_starter"": ""dol dry run motor""}"
Single Phase Electric Motor,"{""power_source"": ""Single Phase Electric Motor""}"
auto switch,"{""attribute"": ""auto switch""}"
Mdt Knx Actuator Automation Products Dealer,"{""product_type"": ""Dealer"", ""attributes"": ""Mdt Knx Actuator Automation Products""}"
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),"{""power_source"": ""Three Phase DOL"", ""switch_type"": ""Auto Switch With Timer With Connector (Rocker Switch)""}"
Hydraulic Motor,"{""power_source"": ""Hydraulic Motor""}"
sliding door motor,"{""door type"": ""sliding door"", ""power source"": ""motor""}"
solenoid-switches,"{""type_of_switch"": ""solenoid-switches""}"
symphony air cooler motor,"{""product_type"": ""air cooler"", ""brand"": ""symphony"", ""power_source"": ""motor""}"
PBL Geared Motors,"{""product_code"": ""PBL"", ""power_source"": ""Geared Motors""}"
super max oil immersed dol motor starter,"{""motor"": ""dol motor starter"", ""attribute"": ""super max""}"
Sunflag Table Fan Motor,"{""product_type"": ""Table Fan"", ""brand"": ""Sunflag"", ""power_source"": ""Motor""}"
Industrial Motors,"{""power_source"": ""Industrial Motors""}"
crompton 3 phase motor 7.5 hp i3,"{""phase"": ""3 phase motor"", ""brand"": ""crompton"", ""attribute"": ""i3"", ""horsepower"": ""7.5 hp""}"
linear actuator control board,"{""control board"": ""linear actuator control board""}"
panasonic gar box,"{""brand"": ""panasonic"", ""packaging"": ""gar box""}"
ड्रोन डीसी मोटर,"{""motor_type"": ""डीसी मोटर"", ""type"": ""ड्रोन""}"
single phase servo motor,"{""power_source"": ""single phase"", ""motor_type"": ""servo motor""}"
single phase mild steel geared motor,"{""motor_type"": ""geared motor"", ""material"": ""mild steel"", ""power_supply"": ""single phase""}"
Gold Power Single Phase Induction Motor,"{""motor_type"": ""Single Phase Induction Motor"", ""value"": ""Gold"", ""power"": ""Power""}"
Siemens 3TW72911AW78,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW78""}"
Siemens 3TW72911AW74,"{""brand"": ""Siemens"", ""model_number"": ""3TW72911AW74""}"
