Query,Key Match Count,Value Match Count,GT Unique Keys,Gemma Unique Keys,GT Unique Values,Gemma Unique Values,Key Match %,Value Match %,GT: Value - Keys (by priority),Gemma: Value - Keys (by priority),Matched Keys,Matched Values,GT Only Keys,Gemma Only Keys
0.25 HP 1440RPM  Ft  Single Phase Double Shaft Motor,0,0,12,0,5,0,0.0%,0.0%,motor - motor_type | product_type |||| 0.25 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| 1440 rpm - speed | rpm | rated_speed |||| dual shaft - shaft_type | shaft,,,,horsepower | hp | motor type | phase | power | product type | rated speed | rpm | shaft | shaft type | speed | supply phase,
0.25HP Single Phase Electric Motor,3,1,7,8,3,2,42.9%,33.3%,motor - motor_type | product_type |||| 0.25 hp - power | horsepower | hp |||| single phase - phase | supply_phase,0.25HP - horsepower | horse_power | hp | motor_horsepower |||| Single Phase - phase | phase_type | number_of_phase | input_phase,horsepower | hp | phase,single phase,motor type | power | product type | supply phase,horse power | input phase | motor horsepower | number of phase | phase type
0.37 KW 0.5 HP Bharat Bijlee Electric Motor,5,1,10,10,4,3,50.0%,25.0%,bharat bijlee - brand | manufacturer | company |||| motor - motor_type | product_type |||| 0.5 hp - power | horsepower | hp |||| 0.37 kw - power | kilowatt | wattage,Electric - power_source | power_supply | power_type |||| 0.37 KW 0.5 HP - power | wattage | motor_power |||| Bharat Bijlee - brand | company | manufacturer | make,brand | company | manufacturer | power | wattage,bharat bijlee,horsepower | hp | kilowatt | motor type | product type,make | motor power | power source | power supply | power type
0.5 hp motor,2,1,5,4,2,1,40.0%,50.0%,motor - motor_type | product_type |||| 0.5 hp - power | horsepower | hp,0.5 HP - horsepower | horse_power | hp | motor_horsepower,horsepower | hp,0.5 hp,motor type | power | product type,horse power | motor horsepower
0.75 KW Godrej 1158 1HP Electric Motor,3,2,10,16,4,4,30.0%,50.0%,godrej - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| 0.75 kw - power | kilowatt | wattage,Electric - power_source | power_supply | power_type | input_power |||| Godrej - brand | company | manufacturer | make |||| 1158 - model_number | model_name | model | model_no |||| 0.75 KW - capacity | load_capacity | weight_capacity | lifting_capacity,brand | company | manufacturer,0.75 kw | godrej,horsepower | hp | kilowatt | motor type | power | product type | wattage,capacity | input power | lifting capacity | load capacity | make | model | model name | model no | model number | power source | power supply | power type | weight capacity
0502 exhaust fan motor,0,0,4,8,3,2,0.0%,0.0%,fan motor - motor_type | product_type |||| exhaust motor - motor_type | product_type |||| fan - application | use,0502 - model_number | model_name | model | model_no |||| Exhaust Fan Motor - model_type | model_category | model_class | model_range,,,application | motor type | product type | use,model | model category | model class | model name | model no | model number | model range | model type
1 2 hp 775 12 v rs775 10000rpm 12v dc motor,6,0,12,17,5,5,50.0%,0.0%,dc motor - motor_type | product_type |||| 2 hp - power | horsepower | hp |||| 12v - voltage | supply_voltage |||| 10000 rpm - speed | rpm | rated_speed |||| dc - current_type | supply_type,12V DC - power_source | power_supply | power_type | voltage |||| 10000rpm - speed | rpm | motor_speed | rated_speed |||| 1 2 HP - horsepower | horse_power | hp |||| RS775 - size | dimension | frame_size |||| 775 - ambient_temperature | operating_temperature | temperature_range,horsepower | hp | rated speed | rpm | speed | voltage,,current type | motor type | power | product type | supply type | supply voltage,ambient temperature | dimension | frame size | horse power | motor speed | operating temperature | power source | power supply | power type | size | temperature range
1 HP Impel VGGH25 Electric Motor,2,1,5,12,2,3,40.0%,50.0%,motor - motor_type | product_type |||| 1 hp - power | horsepower | hp,1 HP - horsepower | horse_power | hp | motor_horsepower |||| Impel - brand | company | manufacturer | make |||| VGGH25 - model_number | model_name | model | model_no,horsepower | hp,1 hp,motor type | power | product type,brand | company | horse power | make | manufacturer | model | model name | model no | model number | motor horsepower
1 HP Texmo Taro Single Phase Motor Starter,3,2,12,12,5,3,25.0%,40.0%,texmo - brand | manufacturer | company |||| motor - motor_type | product_type |||| 1 hp - power | horsepower | hp |||| single phase - phase | supply_phase |||| starter - application | use,Single Phase - power_source | power_supply | power_type | power_requirement |||| Texmo Taro - brand | company | manufacturer | make |||| 1 HP - capacity | load_capacity | weight_capacity | lifting_capacity,brand | company | manufacturer,1 hp | single phase,application | horsepower | hp | motor type | phase | power | product type | supply phase | use,capacity | lifting capacity | load capacity | make | power requirement | power source | power supply | power type | weight capacity
1 Inch Kit Cooler Motor,2,0,4,6,2,2,50.0%,0.0%,cooler motor - motor_type | product_type |||| cooler - application | use,1 Inch - diameter | shaft_diameter | inner_diameter |||| Kit Cooler Motor - type | motor_type | product_type,motor type | product type,,application | use,diameter | inner diameter | shaft diameter | type
