query,gt_success,qmeans_success,gt_total_keys,gt_unique_values,qmeans_total_keys,matched_key_count,matched_value_count,gt_only_key_count,qmeans_only_key_count,key_match_rate,value_match_rate,matched_keys,gt_only_keys,qmeans_only_keys,matched_values,key_match_details_json,value_match_details_json
Cooler Motor,True,True,4,2,2,0,1,4,2,0.00%,50.00%,,product type; application; use; motor type,usage; part type,cooler,[],"[{""value"": ""cooler"", ""gt_keys"": [{""key"": ""application"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""use"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""usage""]}]"
Actuators,True,True,4,1,0,0,0,4,0,0.00%,0.00%,,product category; category; application; use,,,[],[]
130 Flat Motor,True,True,2,1,1,0,0,2,1,0.00%,0.00%,,product type; motor type,model number,,[],[]
ap fan motor & fresh air moter,True,True,4,2,1,0,0,4,1,0.00%,0.00%,,product type; application; use; motor type,brand,,[],[]
a.c. induction motor,True,True,4,2,1,1,0,3,0,25.00%,0.00%,motor type,product type; current type; supply type,,,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""induction motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""induction"", ""value_also_matches"": false}]",[]
Siemens Sipart Ps2 Positioner Model 6dr5,True,True,7,2,2,1,1,6,1,14.29%,50.00%,brand,company; use; application; manufacturer; product category; category,model name/number,siemens,"[{""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""siemens"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""siemens"", ""value_also_matches"": true}]","[{""value"": ""siemens"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}]"
Ac Outdoor Fan Motor,True,True,6,3,3,1,1,5,2,16.67%,33.33%,motor type,supply type; current type; use; application; product type,usage; part type,ac,"[{""normalized_key"": ""motor type"", ""gt_key"": ""motor_type"", ""gt_value"": ""fan motor"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""motor type"", ""qmeans_value"": ""ac"", ""value_also_matches"": false}]","[{""value"": ""ac"", ""gt_keys"": [{""key"": ""current_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""supply_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""motor type""]}]"
siemens-electric-motors,True,True,5,2,0,0,0,5,0,0.00%,0.00%,,brand; manufacturer; company; product type; motor type,,,[],[]
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,True,True,11,4,4,2,4,9,2,18.18%,100.00%,power; brand,wattage; part number; company; manufacturer; model; product type; model number; kilowatt; motor type,usage; model name/number,1fk2104-6af01-1mb0; siemens; 1 kw; servo motor,"[{""normalized_key"": ""power"", ""gt_key"": ""power"", ""gt_value"": ""1 kw"", ""gt_key_priority"": 1, ""gt_attr_priority"": 3, ""qmeans_key"": ""power"", ""qmeans_value"": ""1 kw"", ""value_also_matches"": true}, {""normalized_key"": ""brand"", ""gt_key"": ""brand"", ""gt_value"": ""siemens"", ""gt_key_priority"": 1, ""gt_attr_priority"": 1, ""qmeans_key"": ""brand"", ""qmeans_value"": ""siemens"", ""value_also_matches"": true}]","[{""value"": ""1fk2104-6af01-1mb0"", ""gt_keys"": [{""key"": ""model_number"", ""key_priority"": 1, ""attr_priority"": 4}, {""key"": ""part_number"", ""key_priority"": 2, ""attr_priority"": 4}, {""key"": ""model"", ""key_priority"": 3, ""attr_priority"": 4}], ""qmeans_keys"": [""model name/number""]}, {""value"": ""siemens"", ""gt_keys"": [{""key"": ""brand"", ""key_priority"": 1, ""attr_priority"": 1}, {""key"": ""manufacturer"", ""key_priority"": 2, ""attr_priority"": 1}, {""key"": ""company"", ""key_priority"": 3, ""attr_priority"": 1}], ""qmeans_keys"": [""brand""]}, {""value"": ""1 kw"", ""gt_keys"": [{""key"": ""power"", ""key_priority"": 1, ""attr_priority"": 3}, {""key"": ""kilowatt"", ""key_priority"": 2, ""attr_priority"": 3}, {""key"": ""wattage"", ""key_priority"": 3, ""attr_priority"": 3}], ""qmeans_keys"": [""power""]}, {""value"": ""servo motor"", ""gt_keys"": [{""key"": ""motor_type"", ""key_priority"": 1, ""attr_priority"": 2}, {""key"": ""product_type"", ""key_priority"": 2, ""attr_priority"": 2}], ""qmeans_keys"": [""usage""]}]"
yako tech ms s3,True,True,3,1,1,0,0,3,1,0.00%,0.00%,,brand; manufacturer; company,model name/number,,[],[]
