query,qmeans_attr_count,gemini_attr_count,qmeans_attr_key_1,qmeans_attr_value_1,gemini_attr_key_1,gemini_attr_value_1,qmeans_attr_key_2,qmeans_attr_value_2,gemini_attr_key_2,gemini_attr_value_2,qmeans_attr_key_3,qmeans_attr_value_3,gemini_attr_key_3,gemini_attr_value_3,qmeans_attr_key_4,qmeans_attr_value_4,gemini_attr_key_4,gemini_attr_value_4,qmeans_attr_key_5,qmeans_attr_value_5,gemini_attr_key_5,gemini_attr_value_5,qmeans_attr_key_6,qmeans_attr_value_6,gemini_attr_key_6,gemini_attr_value_6,qmeans_attr_key_7,qmeans_attr_value_7,gemini_attr_key_7,gemini_attr_value_7,qmeans_attr_key_8,qmeans_attr_value_8,gemini_attr_key_8,gemini_attr_value_8,qmeans_attr_key_9,qmeans_attr_value_9,gemini_attr_key_9,gemini_attr_value_9
1 ton herbal extraction plant hdpe body,3,2,capacity,1 ton,body material,hdpe,material,hdpe,weight,"""1 ton",usage,herbal extraction,,,,,,,,,,,,,,,,,,,,,,,,,,
1 ton semi-automatic gold refining machine,3,2,automation grade,semi-automatic,automation grade,semi automatic,capacity,1 ton,weight,"""1 ton",usage,gold refining,,,,,,,,,,,,,,,,,,,,,,,,,,
1 ton single phase silver refining plant,3,3,capacity,1 ton,phase,single phase,phase,single phase,usage/application,silver refining plant,type,refining plant,weight,"""1 ton",,,,,,,,,,,,,,,,,,,,,,,,
1 ton xlpe cable extruder,2,2,capacity,1 ton,material to be extruded,xlpe,material,xlpe,weight,1 ton,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 tpd automatic polymer extruder,4,2,automation grade,automatic,automation grade,automatic,capacity,1 tpd,capacity,1 tpd,material,polymer,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,
1 tpd epe foam extruder cast iron body,3,2,capacity,1 tpd,body material,cast iron,material,cast iron,capacity,"""1 tpd",usage,epe foam extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
10 kg semi-automatic oil extraction plant 400 v three phase pvc body,6,5,capacity,10 kg,automation grade,semi-automatic,material,pvc,body material,pvc,operation type,semi-automatic,capacity(kg),"""10 kg",phase,three phase,phase,three phase,usage,oil extraction,voltage,400 v,voltage,400 v,,,,,,,,,,,,,,
10 kg/hr 1 phase foam extruder,3,2,capacity,10 kg/hr,phase,1 phase,phase,1 phase,production capacity,10 kg/hr,type,extruder,,,,,,,,,,,,,,,,,,,,,,,,,,
10 kg/hr 3 phase jockey extruder,4,2,brand,jockey,phase,3 phase,capacity,10 kg/hr,production capacity,10 kg/hr,phase,3 phase,,,type,extruder,,,,,,,,,,,,,,,,,,,,,,
10 kg/hr fully automatic hydro extractor,3,2,automation grade,automatic,automation grade,fully automatic,capacity,10 kg/hr,production capacity,"""10 kg/hr",product,hydro extractor,,,,,,,,,,,,,,,,,,,,,,,,,,
