success,query,ground_truth_attr_count,ground_truth_isq_list,ground_truth_isq_pipe,api_version,raw_response
True,assam tea 500 gm pack,1,['assam tea:product:specification'],assam tea:product:specification,1.0,"{'api_version': '1.0', 'attributes': {'500 gm': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'unit', 'attr_value': '500 gm', 'attr_value_id': '-', 'char_offset': '10', 'model': 'attr-v2', 'others': [{'attr_meta': {}, 'attr_name': 'packaging size', 'attr_type': 'specification', 'attr_value': '500 gm', 'attr_value_id': '-', 'model': 'q-means/2.0.1'}], 'word_offset': '2'}, 'assam tea': {'attr_meta': {'origin': 'assam', 'type': 'black tea'}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'assam tea', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'others': [{'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'assam tea', 'attr_value_id': '-', 'model': 'probable-product'}], 'word_offset': '0'}, 'pack': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'pack', 'attr_value_id': '-', 'char_offset': '17', 'model': 'probable-product', 'word_offset': '4'}, 'tea 500 gm': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'tea 500 gm', 'attr_value_id': '-', 'char_offset': '6', 'model': 'probable-product', 'word_offset': '1'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 10.39, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 13.38, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 20.39, 'status': 'success'}}, 'response_code': 200, 'response_time': 24.15, 'timeout': False}"
True,premium assam tea loose leaf,3,"['assam tea:product:specification', 'leaf:form:specification', 'loose:packaging type:specification']",assam tea:product:specification | leaf:form:specification | loose:packaging type:specification,1.0,"{'api_version': '1.0', 'attributes': {'assam tea': {'attr_meta': {'origin': 'assam', 'type': 'black tea'}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'assam tea', 'attr_value_id': '-', 'char_offset': '8', 'model': 'dictionary', 'word_offset': '1'}, 'assam tea loose': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'assam tea loose', 'attr_value_id': '-', 'char_offset': '8', 'model': 'probable-product', 'word_offset': '1'}, 'leaf': {'attr_meta': {}, 'attr_name': 'form', 'attr_type': 'specification', 'attr_value': 'leaf', 'attr_value_id': '-', 'char_offset': '24', 'model': 'q-means/2.0.1', 'word_offset': '4'}, 'loose': {'attr_meta': {}, 'attr_name': 'packaging type', 'attr_type': 'specification', 'attr_value': 'loose', 'attr_value_id': '-', 'char_offset': '18', 'model': 'q-means/2.0.1', 'word_offset': '3'}, 'premium assam tea': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'premium assam tea', 'attr_value_id': '-', 'char_offset': '0', 'model': 'probable-product', 'word_offset': '0'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 10.3, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 19.16, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 20.13, 'status': 'success'}}, 'response_code': 200, 'response_time': 35.1, 'timeout': False}"
True,organic assam tea black tea,3,"['assam tea:product:specification', 'black:color:specification', 'organic:type:specification']",assam tea:product:specification | black:color:specification | organic:type:specification,1.0,"{'api_version': '1.0', 'attributes': {'assam tea': {'attr_meta': {'origin': 'assam', 'type': 'black tea'}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'assam tea', 'attr_value_id': '-', 'char_offset': '8', 'model': 'dictionary', 'word_offset': '1'}, 'black': {'attr_meta': {}, 'attr_name': 'color', 'attr_type': 'specification', 'attr_value': 'black', 'attr_value_id': '-', 'char_offset': '18', 'model': 'q-means/2.0.1', 'word_offset': '3'}, 'black tea': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'black tea', 'attr_value_id': '-', 'char_offset': '18', 'model': 'probable-product', 'word_offset': '3'}, 'organic': {'attr_meta': {}, 'attr_name': 'type', 'attr_type': 'specification', 'attr_value': 'organic', 'attr_value_id': '-', 'char_offset': '0', 'model': 'q-means/2.0.1', 'word_offset': '0'}, 'organic assam tea': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'organic assam tea', 'attr_value_id': '-', 'char_offset': '0', 'model': 'probable-product', 'word_offset': '0'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 6.54, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 15.9, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 30.17, 'status': 'success'}}, 'response_code': 200, 'response_time': 36.44, 'timeout': False}"
True,assam tea gift box 1 kg,3,"['assam tea:product:specification', 'box:packaging type:specification', 'gift:usage:specification']",assam tea:product:specification | box:packaging type:specification | gift:usage:specification,1.0,"{'api_version': '1.0', 'attributes': {'1 kg': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'unit', 'attr_value': '1 kg', 'attr_value_id': '-', 'char_offset': '19', 'model': 'attr-v2', 'others': [{'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': '1 kg', 'attr_value_id': '-', 'model': 'probable-product'}, {'attr_meta': {}, 'attr_name': 'packaging size', 'attr_type': 'specification', 'attr_value': '1 kg', 'attr_value_id': '-', 'model': 'q-means/2.0.1'}], 'word_offset': '4'}, 'assam tea': {'attr_meta': {'origin': 'assam', 'type': 'black tea'}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'assam tea', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'word_offset': '0'}, 'box': {'attr_meta': {}, 'attr_name': 'packaging type', 'attr_type': 'specification', 'attr_value': 'box', 'attr_value_id': '-', 'char_offset': '15', 'model': 'q-means/2.0.1', 'word_offset': '3'}, 'gift': {'attr_meta': {}, 'attr_name': 'usage', 'attr_type': 'specification', 'attr_value': 'gift', 'attr_value_id': '-', 'char_offset': '10', 'model': 'q-means/2.0.1', 'word_offset': '2'}, 'gift box 1': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'gift box 1', 'attr_value_id': '-', 'char_offset': '10', 'model': 'probable-product', 'word_offset': '2'}, 'tea gift box': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'tea gift box', 'attr_value_id': '-', 'char_offset': '6', 'model': 'probable-product', 'word_offset': '1'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 9.28, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 16.4, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 24.48, 'status': 'success'}}, 'response_code': 200, 'response_time': 28.79, 'timeout': False}"
True,best quality assam tea online,1,['assam tea:product:specification'],assam tea:product:specification,1.0,"{'api_version': '1.0', 'attributes': {'assam tea': {'attr_meta': {'origin': 'assam', 'type': 'black tea'}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'assam tea', 'attr_value_id': '-', 'char_offset': '13', 'model': 'dictionary', 'others': [{'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'assam tea', 'attr_value_id': '-', 'model': 'probable-product'}], 'word_offset': '2'}, 'best quality': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'best quality', 'attr_value_id': '-', 'char_offset': '0', 'model': 'probable-product', 'others': [{'attr_meta': {}, 'attr_name': 'features', 'attr_type': 'specification', 'attr_value': 'best quality', 'attr_value_id': '-', 'model': 'q-means/2.0.1'}], 'word_offset': '0'}, 'online': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'online', 'attr_value_id': '-', 'char_offset': '23', 'model': 'probable-product', 'others': [{'attr_meta': {}, 'attr_name': 'type', 'attr_type': 'specification', 'attr_value': 'online', 'attr_value_id': '-', 'model': 'q-means/2.0.1'}], 'word_offset': '4'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 9.82, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 12.62, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 59.49, 'status': 'success'}}, 'response_code': 200, 'response_time': 65.48, 'timeout': False}"
True,assam tea ctc grade,2,"['assam tea:product:specification', 'ctc:processing type:specification']",assam tea:product:specification | ctc:processing type:specification,1.0,"{'api_version': '1.0', 'attributes': {'assam tea': {'attr_meta': {'origin': 'assam', 'type': 'black tea'}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'assam tea', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'word_offset': '0'}, 'assam tea ctc': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'assam tea ctc', 'attr_value_id': '-', 'char_offset': '0', 'model': 'probable-product', 'word_offset': '0'}, 'ctc': {'attr_meta': {}, 'attr_name': 'processing type', 'attr_type': 'specification', 'attr_value': 'ctc', 'attr_value_id': '-', 'char_offset': '10', 'model': 'q-means/2.0.1', 'word_offset': '2'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 10.52, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 13.88, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 41.59, 'status': 'success'}}, 'response_code': 200, 'response_time': 47.54, 'timeout': False}"
True,assam tea green pack 250 gm,2,"['assam tea:product:specification', 'green:color:specification']",assam tea:product:specification | green:color:specification,1.0,"{'api_version': '1.0', 'attributes': {'250 gm': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'unit', 'attr_value': '250 gm', 'attr_value_id': '-', 'char_offset': '21', 'model': 'attr-v2', 'others': [{'attr_meta': {}, 'attr_name': 'packaging size', 'attr_type': 'specification', 'attr_value': '250 gm', 'attr_value_id': '-', 'model': 'q-means/2.0.1'}], 'word_offset': '4'}, 'assam tea': {'attr_meta': {'origin': 'assam', 'type': 'black tea'}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'assam tea', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'others': [{'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'assam tea', 'attr_value_id': '-', 'model': 'probable-product'}], 'word_offset': '0'}, 'gm': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'gm', 'attr_value_id': '-', 'char_offset': '25', 'model': 'probable-product', 'word_offset': '5'}, 'green': {'attr_meta': {}, 'attr_name': 'color', 'attr_type': 'specification', 'attr_value': 'green', 'attr_value_id': '-', 'char_offset': '10', 'model': 'q-means/2.0.1', 'word_offset': '2'}, 'green pack': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'green pack', 'attr_value_id': '-', 'char_offset': '10', 'model': 'probable-product', 'word_offset': '2'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 12.03, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 14.64, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 24.5, 'status': 'success'}}, 'response_code': 200, 'response_time': 32.18, 'timeout': False}"
True,assam tea with cardamom flavor,2,"['assam tea:product:specification', 'cardamom:flavor:specification']",assam tea:product:specification | cardamom:flavor:specification,1.0,"{'api_version': '1.0', 'attributes': {'assam tea': {'attr_meta': {'origin': 'assam', 'type': 'black tea'}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'assam tea', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'others': [{'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'assam tea', 'attr_value_id': '-', 'model': 'probable-product'}], 'word_offset': '0'}, 'cardamom': {'attr_meta': {}, 'attr_name': 'flavor', 'attr_type': 'specification', 'attr_value': 'cardamom', 'attr_value_id': '-', 'char_offset': '15', 'model': 'q-means/2.0.1', 'word_offset': '3'}, 'cardamom flavor': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'cardamom flavor', 'attr_value_id': '-', 'char_offset': '15', 'model': 'probable-product', 'word_offset': '3'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 11.4, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 23.41, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 29.71, 'status': 'success'}}, 'response_code': 200, 'response_time': 37.55, 'timeout': False}"
True,assam tea premium blend,1,['assam tea:product:specification'],assam tea:product:specification,1.0,"{'api_version': '1.0', 'attributes': {'assam tea': {'attr_meta': {'origin': 'assam', 'type': 'black tea'}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'assam tea', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'others': [{'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'assam tea', 'attr_value_id': '-', 'model': 'probable-product'}], 'word_offset': '0'}, 'blend': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'blend', 'attr_value_id': '-', 'char_offset': '18', 'model': 'probable-product', 'word_offset': '3'}, 'tea premium': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'tea premium', 'attr_value_id': '-', 'char_offset': '6', 'model': 'probable-product', 'word_offset': '1'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 8.23, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 11.19, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 22.08, 'status': 'success'}}, 'response_code': 200, 'response_time': 27.53, 'timeout': False}"
True,assam tea wholesale price,1,['assam tea:product:specification'],assam tea:product:specification,1.0,"{'api_version': '1.0', 'attributes': {'assam tea': {'attr_meta': {'origin': 'assam', 'type': 'black tea'}, 'attr_name': 'product', 'attr_type': 'specification', 'attr_value': 'assam tea', 'attr_value_id': '-', 'char_offset': '0', 'model': 'dictionary', 'word_offset': '0'}, 'assam tea wholesale': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'assam tea wholesale', 'attr_value_id': '-', 'char_offset': '0', 'model': 'probable-product', 'word_offset': '0'}, 'wholesale': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'biztype', 'attr_value': 'wholesaler', 'attr_value_id': '30', 'char_offset': '10', 'model': 'attr-v2', 'others': [{'attr_meta': {}, 'attr_name': 'business type', 'attr_type': 'specification', 'attr_value': 'wholesale', 'attr_value_id': '-', 'model': 'q-means/2.0.1'}], 'word_offset': '2'}, 'wholesale price': {'attr_meta': {}, 'attr_name': '-', 'attr_type': 'product', 'attr_value': 'wholesale price', 'attr_value_id': '-', 'char_offset': '10', 'model': 'probable-product', 'word_offset': '2'}}, 'banned_status': 'not_banned', 'models_executed': {'attr-v2': {'enabled': True, 'response_time_ms': 7.43, 'status': 'success'}, 'probable-product': {'enabled': True, 'response_time_ms': 11.95, 'status': 'success'}, 'q-means/2.0.1': {'enabled': True, 'response_time_ms': 22.37, 'status': 'success'}}, 'response_code': 200, 'response_time': 27.29, 'timeout': False}"
