success,query,attr_count,isq_list,isq_pipe,raw_output,request_number,error
True,"prism fully automatic mother baby extruder, 1 ton, 380 v, three phase",7,"['prism:brand:specification', 'fully automatic:automation grade:specification', 'mother baby:machine type:specification', 'extruder:product:specification', '1 ton:capacity:specification', '380 v:voltage:specification', 'three phase:phase:specification']",prism:brand:specification | fully automatic:automation grade:specification | mother baby:machine type:specification | extruder:product:specification | 1 ton:capacity:specification | 380 v:voltage:specification | three phase:phase:specification,"[""prism:brand:specification"", ""fully automatic:automation grade:specification"", ""mother baby:machine type:specification"", ""extruder:product:specification"", ""1 ton:capacity:specification"", ""380 v:voltage:specification"", ""three phase:phase:specification""]",1,
True,mild steel pipe extrusion machine,4,"['mild steel:body material:specification', 'pipe:product type:specification', 'extrusion:machine type:specification', 'machine:product:specification']",mild steel:body material:specification | pipe:product type:specification | extrusion:machine type:specification | machine:product:specification,"[""mild steel:body material:specification"", ""pipe:product type:specification"", ""extrusion:machine type:specification"", ""machine:product:specification""]",2,
True,turbo semi-automatic pet extruder,4,"['turbo:brand:specification', 'semi-automatic:automation grade:specification', 'pet:product type:specification', 'extruder:machine type:specification']",turbo:brand:specification | semi-automatic:automation grade:specification | pet:product type:specification | extruder:machine type:specification,"[""turbo:brand:specification"", ""semi-automatic:automation grade:specification"", ""pet:product type:specification"", ""extruder:machine type:specification""]",3,
True,turbo epe foam extruder,3,"['turbo:brand:specification', 'epe foam:product type:specification', 'extruder:machine type:specification']",turbo:brand:specification | epe foam:product type:specification | extruder:machine type:specification,"[""turbo:brand:specification"", ""epe foam:product type:specification"", ""extruder:machine type:specification""]",4,
True,"labh group automatic oil extraction plant, 1000 liter, 400 v, 1 phase",6,"['labh group:brand:specification', 'automatic:automation grade:specification', 'oil extraction plant:product:specification', '1000 liter:capacity:specification', '400 v:voltage:specification', '1 phase:phase:specification']",labh group:brand:specification | automatic:automation grade:specification | oil extraction plant:product:specification | 1000 liter:capacity:specification | 400 v:voltage:specification | 1 phase:phase:specification,"[""labh group:brand:specification"", ""automatic:automation grade:specification"", ""oil extraction plant:product:specification"", ""1000 liter:capacity:specification"", ""400 v:voltage:specification"", ""1 phase:phase:specification""]",5,
True,industrial plastic extruder unique 10 tpd 380 v manual,7,"['industrial:usage/application:specification', 'plastic:material to be extruded:specification', 'extruder:machine type:specification', 'unique:brand:specification', '10 tpd:capacity:specification', '380 v:voltage:specification', 'manual:automation grade:specification']",industrial:usage/application:specification | plastic:material to be extruded:specification | extruder:machine type:specification | unique:brand:specification | 10 tpd:capacity:specification | 380 v:voltage:specification | manual:automation grade:specification,"[""industrial:usage/application:specification"", ""plastic:material to be extruded:specification"", ""extruder:machine type:specification"", ""unique:brand:specification"", ""10 tpd:capacity:specification"", ""380 v:voltage:specification"", ""manual:automation grade:specification""]",6,
True,automatic mother baby extruder 400 v,4,"['automatic:automation grade:specification', 'mother baby:machine type:specification', 'extruder:product:specification', '400 v:voltage:specification']",automatic:automation grade:specification | mother baby:machine type:specification | extruder:product:specification | 400 v:voltage:specification,"[""automatic:automation grade:specification"", ""mother baby:machine type:specification"", ""extruder:product:specification"", ""400 v:voltage:specification""]",7,
True,pvc foam extruder,3,"['pvc:product type:specification', 'foam:material to be extruded:specification', 'extruder:machine type:specification']",pvc:product type:specification | foam:material to be extruded:specification | extruder:machine type:specification,"[""pvc:product type:specification"", ""foam:material to be extruded:specification"", ""extruder:machine type:specification""]",8,
True,"prism make automatic solvent extraction plant, production capacity: 10 kg, voltage: 400 v, phase: three phase, material: pvc, power: 15 kw",8,"['prism:brand:specification', 'automatic:automation grade:specification', 'solvent extraction plant:product:specification', '10 kg:capacity:specification', '400 v:voltage:specification', 'three phase:phase:specification', 'pvc:body material:specification', '15 kw:power:specification']",prism:brand:specification | automatic:automation grade:specification | solvent extraction plant:product:specification | 10 kg:capacity:specification | 400 v:voltage:specification | three phase:phase:specification | pvc:body material:specification | 15 kw:power:specification,"[""prism:brand:specification"", ""automatic:automation grade:specification"", ""solvent extraction plant:product:specification"", ""10 kg:capacity:specification"", ""400 v:voltage:specification"", ""three phase:phase:specification"", ""pvc:body material:specification"", ""15 kw:power:specification""]",9,
True,co-rotating twin screw extruder for agricultural 200 kg,5,"['co-rotating:screw type:specification', 'twin screw:design:specification', 'extruder:machine type:specification', 'agricultural:usage/application:specification', '200 kg:capacity:specification']",co-rotating:screw type:specification | twin screw:design:specification | extruder:machine type:specification | agricultural:usage/application:specification | 200 kg:capacity:specification,"[""co-rotating:screw type:specification"", ""twin screw:design:specification"", ""extruder:machine type:specification"", ""agricultural:usage/application:specification"", ""200 kg:capacity:specification""]",10,
