query,success,key_count,raw_output,attributes_json
query,True,1,"{""query"": ""query""}","{""query"": ""query""}"
Cooler Motor,True,2,"{""feature"": ""Cooler"", ""motor"": ""Motor""}","{""feature"": ""Cooler"", ""motor"": ""Motor""}"
Actuators,True,1,"{""actuators"": ""Actuators""}","{""actuators"": ""Actuators""}"
130 Flat Motor,True,3,"{""attribute"": ""Flat"", ""motor"": ""Motor"", ""number"": ""130""}","{""attribute"": ""Flat"", ""motor"": ""Motor"", ""number"": ""130""}"
ap fan motor & fresh air moter,True,3,"{""features"": ""fresh air"", ""power source"": ""fan motor &"", ""brand/seller"": ""ap""}","{""features"": ""fresh air"", ""power source"": ""fan motor &"", ""brand/seller"": ""ap""}"
a.c. induction motor,True,1,"{""motor type"": ""a.c. induction motor""}","{""motor type"": ""a.c. induction motor""}"
Siemens Sipart Ps2 Positioner Model 6dr5,True,2,"{""Model"": ""Ps2 Positioner Model 6dr3"", ""Brand"": ""Siemens Sipart""}","{""Model"": ""Ps2 Positioner Model 6dr3"", ""Brand"": ""Siemens Sipart""}"
Ac Outdoor Fan Motor,True,3,"{""fan"": ""Outdoor"", ""power source"": ""Ac"", ""motor type"": ""Fan Motor""}","{""fan"": ""Outdoor"", ""power source"": ""Ac"", ""motor type"": ""Fan Motor""}"
siemens-electric-motors,True,1,"{""brand"": ""siemens-electric-motors""}","{""brand"": ""siemens-electric-motors""}"
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,True,4,"{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INFK2 SERVO DRIVE"", ""power"": ""1 kW"", ""part_number"": ""1FK2104-7AK01-1MF0""}","{""motor"": ""SERVO MOTOR"", ""brand/series"": ""SIEMENS SIMOTICS S-INFK2 SERVO DRIVE"", ""power"": ""1 kW"", ""part_number"": ""1FK2104-7AK01-1MF0""}"
yako tech ms s3,True,2,"{""brand"": ""yako tech"", ""ms model number"": ""s3""}","{""brand"": ""yako tech"", ""ms model number"": ""s3""}"
brushless dc motor,True,1,"{""motor"": ""brushless dc motor""}","{""motor"": ""brushless dc motor""}"
ABB Electric Motor,True,1,"{""motor"": ""ABB Electric Motor""}","{""motor"": ""ABB Electric Motor""}"
sensor plate,True,2,"{""type"": ""sensor"", ""plate"": """"}","{""type"": ""sensor"", ""plate"": """"}"
electronic components bo moters,True,2,"{""components"": ""electronic components"", ""power source"": ""bo moters""}","{""components"": ""electronic components"", ""power source"": ""bo moters""}"
1500 kv ccw multirotor motor,True,3,"{""voltage"": ""1500 kv"", ""motor type"": ""motor"", ""attributes"": ""ccw multirotor""}","{""voltage"": ""1500 kv"", ""motor type"": ""motor"", ""attributes"": ""ccw multirotor""}"
Panasonic Geared Motor,True,2,"{""motor"": ""Geared Motor"", ""brand"": ""Panasonic""}","{""motor"": ""Geared Motor"", ""brand"": ""Panasonic""}"
worm geared brake motor,True,2,"{""mechanism"": ""worm"", ""feature"": ""geared brake motor""}","{""mechanism"": ""worm"", ""feature"": ""geared brake motor""}"
eletical motors 40hp,True,2,"{""power"": ""40hp"", ""type of power source"": ""eletical motors""}","{""power"": ""40hp"", ""type of power source"": ""eletical motors""}"
Rotomotive Induction Motor 3 Phase,True,3,"{""motor type"": ""Induction Motor"", ""phase"": ""3 Phase"", ""brand/product"": ""Rotomotive""}","{""motor type"": ""Induction Motor"", ""phase"": ""3 Phase"", ""brand/product"": ""Rotomotive""}"
100 W Chimney Motor,True,2,"{""power"": ""100 W"", ""motor type"": ""Chimney Motor""}","{""power"": ""100 W"", ""motor type"": ""Chimney Motor""}"
1 for reselling piece Panasonic Geared Motor,True,3,"{""motor"": ""Geared Motor"", ""brand"": ""Panasonic"", ""quantity"": ""1 for reselling piece""}","{""motor"": ""Geared Motor"", ""brand"": ""Panasonic"", ""quantity"": ""1 for reselling piece""}"
Motor Cover,True,1,"{""attribute"": ""Motor Cover""}","{""attribute"": ""Motor Cover""}"
b04420065,True,1,"{""query"": ""b0442006""}","{""query"": ""b0442006""}"
1 piece Slip Rings,True,2,"{""rings"": ""Slip Rings"", ""quantity"": ""1 piece""}","{""rings"": ""Slip Rings"", ""quantity"": ""1 piece""}"
venex 3 phase dol motor starter,True,4,"{""motor"": ""dol motor"", ""phase"": ""3 phase"", ""brand"": ""venex"", ""attribute"": ""starter""}","{""motor"": ""dol motor"", ""phase"": ""3 phase"", ""brand"": ""venex"", ""attribute"": ""starter""}"
Used Crompton Greaves Motor,True,3,"{""condition"": ""Used"", ""brand"": ""Crompton Greaves"", ""power source"": ""Motor""}","{""condition"": ""Used"", ""brand"": ""Crompton Greaves"", ""power source"": ""Motor""}"
Mobile Starter Prime,True,2,"{""starter type"": ""Mobile"", ""brand/product"": ""Prime""}","{""starter type"": ""Mobile"", ""brand/product"": ""Prime""}"
1kw( 1.3hp) bldc motor,True,2,"{""motor"": ""bldc motor"", ""power"": ""1kw( 1.3bhp)""}","{""motor"": ""bldc motor"", ""power"": ""1kw( 1.3bhp)""}"
1kw( 1.3hp) bldc motor near jharsuguda,True,3,"{""motor"": ""bldc motor"", ""power"": ""1kw( 1.3bhp)"", ""location"": ""near jharsuguda""}","{""motor"": ""bldc motor"", ""power"": ""1kw( 1.3bhp)"", ""location"": ""near jharsuguda""}"
spg motor,True,2,"{""motor"": ""spg"", ""power source"": ""motor""}","{""motor"": ""spg"", ""power source"": ""motor""}"
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,True,6,"{""motor"": ""drive"", ""horsepower"": ""5 hp"", ""rpm"": ""foot mount"", ""phase"": ""3 phase"", ""brand"": ""crompton greaves"", ""power consumption"": ""3.70 kw""}","{""motor"": ""drive"", ""horsepower"": ""5 hp"", ""rpm"": ""foot mount"", ""phase"": ""3 phase"", ""brand"": ""crompton greaves"", ""power consumption"": ""3.70 kw""}"
Vacuum Cleaner Motors,True,2,"{""type"": ""Vacuum Cleaner"", ""power source"": ""Motors""}","{""type"": ""Vacuum Cleaner"", ""power source"": ""Motors""}"
Siemens Electric Three Phase Motor,True,2,"{""motor"": ""Three Phase Motor"", ""brand"": ""Siemens Electric""}","{""motor"": ""Three Phase Motor"", ""brand"": ""Siemens Electric""}"
panasonic gear box MY9G30B,True,3,"{""brand"": ""panasonic"", ""attributes"": [""MY9G30B""], ""type"": ""gear box""}","{""brand"": ""panasonic"", ""attributes"": [""MY9G30B""], ""type"": ""gear box""}"
Three Phase Dol Starter (elcw-s-digi),True,2,"{""phase"": ""Three Phase"", ""attribute"": ""Dol Starter (elcw-s-digit)""}","{""phase"": ""Three Phase"", ""attribute"": ""Dol Starter (elcw-s-digit)""}"
Motor Plate,True,2,"{""part"": ""Plate"", ""power source"": ""Motor""}","{""part"": ""Plate"", ""power source"": ""Motor""}"
three phase dol dry run motor starter,True,2,"{""power"": ""three phase"", ""condition"": ""dol dry run motor starter""}","{""power"": ""three phase"", ""condition"": ""dol dry run motor starter""}"
Single Phase Electric Motor,True,2,"{""power source"": ""Single Phase"", ""type of motor"": ""Electric Motor""}","{""power source"": ""Single Phase"", ""type of motor"": ""Electric Motor""}"
auto switch,True,1,"{""attribute"": ""auto switch""}","{""attribute"": ""auto switch""}"
Mdt Knx Actuator Automation Products Dealer,True,3,"{""product"": ""Dealer"", ""attributes"": [""Knx Actuator Automation Products""], ""size/weight"": ""Mdt""}","{""product"": ""Dealer"", ""attributes"": [""Knx Actuator Automation Products""], ""size/weight"": ""Mdt""}"
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),True,2,"{""power"": ""Three Phase"", ""switch type"": ""DOL Auto Switch With Timer With Connector (Ricker Switch)""}","{""power"": ""Three Phase"", ""switch type"": ""DOL Auto Switch With Timer With Connector (Ricker Switch)""}"
Hydraulic Motor,True,1,"{""power source"": ""Hydraulic Motor""}","{""power source"": ""Hydraulic Motor""}"
sliding door motor,True,2,"{""door type"": ""sliding"", ""power source"": ""motor""}","{""door type"": ""sliding"", ""power source"": ""motor""}"
solenoid-switches,True,1,"{""component"": ""solenoid-switches""}","{""component"": ""solenoid-switches""}"
symphony air cooler motor,True,3,"{""product"": ""symphony"", ""feature"": ""air cooler"", ""power source"": ""motor""}","{""product"": ""symphony"", ""feature"": ""air cooler"", ""power source"": ""motor""}"
PBL Geared Motors,True,2,"{""product"": ""PBL"", ""power source"": ""Geared Motors""}","{""product"": ""PBL"", ""power source"": ""Geared Motors""}"
super max oil immersed dol motor starter,False,0,"{""motor"": ""dol"", ""oil immersed"", ""attribute"": ""super max"", ""feature"": ""starter""}",
Sunflag Table Fan Motor,True,3,"{""product"": ""Table Fan"", ""brand"": ""Sunflag"", ""power source"": ""Motor""}","{""product"": ""Table Fan"", ""brand"": ""Sunflag"", ""power source"": ""Motor""}"
Industrial Motors,True,1,"{""power source"": ""Industrial Motors""}","{""power source"": ""Industrial Motors""}"
crompton 3 phase motor 7.5 hp i3,False,0,"{""phase"": ""3"", ""motor type"": ""chrompton"", ""hp"": ""7.5 hp"", ""i3""}",
linear actuator control board,True,2,"{""control board"": ""linear actuator"", ""attribute"": ""control board""}","{""control board"": ""linear actuator"", ""attribute"": ""control board""}"
panasonic gar box,True,2,"{""brand"": ""panasonic"", ""packaging"": ""gar box""}","{""brand"": ""panasonic"", ""packaging"": ""gar box""}"
ड्रोन डीसी मोटर,True,2,"{""motor"": ""डीसी मोटर"", ""type"": ""ड्रोन""}","{""motor"": ""डीसी मोटर"", ""type"": ""ड्रोन""}"
single phase servo motor,True,2,"{""power"": ""single phase"", ""motor type"": ""servo motor""}","{""power"": ""single phase"", ""motor type"": ""servo motor""}"
single phase mild steel geared motor,True,3,"{""motorized"": ""geared motor"", ""material"": ""mild steel"", ""power source"": ""single phase""}","{""motorized"": ""geared motor"", ""material"": ""mild steel"", ""power source"": ""single phase""}"
