keyword,mcat_name,mcat_id,mcat_accuracy_level
Cooler Motor,Cooler Motor,52897,High
Actuators,Actuators,3148,High
130 Flat Motor,DC Motor,445,Medium
ap fan motor & fresh air moter,Fan Motor,28231,High
a.c. induction motor,AC Induction Motor,21550,High
Siemens Sipart Ps2 Positioner Model 6dr5,Pneumatic Positioner,20641,High
Ac Outdoor Fan Motor,AC Fan Motor,146600,High
siemens-electric-motors,Siemens Electric Motor,184089,High
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0 1 kW,Siemens Servo Motors,184102,High
yako tech ms s3,AC Servo Motor,14970,Medium
brushless dc motor,Brushless DC Motor,15240,High
ABB Electric Motor,ABB Electric Motor,181114,High
sensor plate,Motor Plate,190101,High
electronic components bo moters,Battery Operated Motor,52893,High
1500 kv ccw multirotor motor,Rotor mounted Motor,36904,High
Panasonic Geared Motor,Panasonic Geared Motor,193206,High
worm geared brake motor,Worm Geared Motor,41500,High
eletical motors 40hp,Electric Motor,1274,High
Rotomotive Induction Motor 3 Phase,Three Phase Induction Motor,131725,High
100 W Chimney Motor,Chimney Motor,446121,High
1 for reselling piece Panasonic Geared Motor,Panasonic Geared Motor,193206,High
Motor Cover,Motor Cover,117875,High
b04420065,Pneumatic Actuators,5084,Medium
1 piece Slip Rings,Slip Rings,37229,High
venex 3 phase dol motor starter,DOL Starter,26266,High
Used Crompton Greaves Motor,Crompton Greaves Motor,126348,High
Mobile Starter Prime,Mobile Starter,161896,High
1kw( 1.3hp) bldc motor,Brushless DC Motor,15240,High
1kw( 1.3hp) bldc motor near jharsuguda,Brushless DC Motor,15240,High
spg motor,Gear Motor,29373,High
crompton greaves motor 5 hp 3.70 kw 3 phase 1450 rpm foot mount,Crompton Greaves Motor,126348,High
Vacuum Cleaner Motors,Vacuum Cleaner Motors,40749,High
Siemens Electric Three Phase Motor,Siemens Electric Motor,184089,High
panasonic gear box MY9G30B,Panasonic Geared Motor,193206,High
Three Phase Dol Starter (elcw-s-digi),DOL Starter,26266,High
Motor Plate,Motor Plate,190101,High
three phase dol dry run motor starter,DOL Starter,26266,High
Single Phase Electric Motor,Single Phase Electric Motor,52927,High
auto switch,Motor Automatic Switch,140407,High
Mdt Knx Actuator Automation Products Dealer,KNX Actuators,653163,High
Three Phase DOL  Auto Switch With Timer With Connector (Rocker Switch),Motor Automatic Switch,140407,High
Hydraulic Motor,Hydraulic Motor,10834,High
sliding door motor,Door Motor,52902,High
solenoid-switches,Solenoid Switches,7646,High
symphony air cooler motor,Cooler Motor,52897,High
PBL Geared Motors,PBL Geared Motors,206096,High
super max oil immersed dol motor starter,DOL Starter,26266,High
Sunflag Table Fan Motor,Fan Motor,28231,High
Industrial Motors,Industrial Motors,52915,High
crompton 3 phase motor 7.5 hp i3,Crompton Greaves Motor,126348,Medium
linear actuator control board,Linear Actuator,32181,High
panasonic gar box,Panasonic Geared Motor,193206,Medium
ड्रोन डीसी मोटर,DC Motor,445,Medium
single phase servo motor,Servo Motor,448,High
single phase mild steel geared motor,Gear Motor,29373,High
Gold Power Single Phase Induction Motor,Single Phase Induction Motor,9483,High
Siemens 3TW72911AW78,Siemens DOL Starter,654653,High
Siemens 3TW72911AW74,Siemens DOL Starter,654653,High
Siemens 3TW72911AW72,Siemens DOL Starter,654653,High
Siemens 3TW72911AW71,Siemens DOL Starter,654653,High
Vertical Hollow Shaft Motor Service,Vertical Hollow Shaft Motor,44655,High
Siemens 3TW72911AW69,Siemens DOL Starter,654653,High
Siemens 3TW72911AW68,Siemens DOL Starter,654653,High
Siemens 3TW72911AW66,Siemens DOL Starter,654653,High
Siemens 3TW72911AW64,Siemens DOL Starter,654653,High
100 HP to 2000 HP  Slip Ring Motor Starter,Slip Ring Starter,149795,High
Crompton Single Phase Electric Motor,Crompton Motors,446133,High
6 for business use piece electronic Valve Positioners,Valve Positioners,40629,High
drondch motor,Electric Motor,1274,High
STP-43D2035 Stepper Motor,Stepper Motor,18794,High
SIEMENS SIMOTICS S-1FK2  SERVO MOTOR 1FK2104-6AF01-1MB0,Siemens Servo Motors,184102,High
Crompton 0.5hp Motor,Crompton Motors,446133,High
Jencode Hollow Shaft Encoder,Hollow Shaft Encoders,30451,High
AC MOTARS,AC Motor,444,High
Hadrulicl Power motar,Hydraulic Motor,10834,High
RC Car Brushless ESC Platinum Edition 120A,Brushless Motors,23616,High
RPG15Q Motor,Air Conditioner Motor,186009,High
Honeywell V4055 Fuild Power Actuator,Fluid Power Actuators,28339,High
servo motor .,Servo Motor,448,High
L & T SOFT STARTOR,Soft Starters,12256,High
775 dc motor,DC Motor,445,High
Brake Motors,Brake Motors,21078,High
1FK2104-6AF01-1MB0,Siemens Servo Motors,184102,High
Electric Motor,Three Phase Electric Motor,52930,Medium
3 phase 415 V 0.09KW Motor,Three Phase Motor,2415,High
crompton motors crompton motor 5 hp single phase near patna,Crompton Motors,446133,High
12v 775 Dc Motor,DC Motor,445,High
Linear Actuator,Linear Actuator,32181,High
Gold Power Single Phase Induction Motor,Single Phase Induction Motor,9483,High
dc motors,DC Motor,445,High
dol starter,DOL Starter,26266,High
Wages Patti,Mixer Grinder Motor,84526,Medium
Lift Motor,Lift Motor,77611,High
0.25HP Single Phase Electric Motor,Single Phase Electric Motor,52927,High
12v dc dual shaft motor,Double Shaft Motor,139590,High
single phase submersible pump starter,Pump Starter,146491,High
Bharat Bijlee Ie3 Motor,Bharat Bijlee AC Motor,203388,High
Crompton Single Phase Vibrator,Single Phase Motors,9484,High
Telescopic Brushes,Telescopic Brush,136910,High
Carbon Brush,Carbon Brush,903,High
electric gate motor,Electric Sliding Gate Motor,52905,High
101-200 KW 1 HP Bharat Bijlee Ac Motor,Bharat Bijlee AC Motor,203388,High
Auto Switch for 3 Phase Motor,Motor Automatic Switch,140407,High
crompton motors crompton motor 5 hp single phase,Crompton Motors,446133,High
Motors,Electric Motor,1274,High
electrical motor,Electric Motor,1274,High
0.37 KW 0.5 HP Bharat Bijlee Electric Motor,Bharat Bijlee AC Motor,203388,High
Three Phase Bharat Bijlee Motor,Bharat Bijlee AC Motor,203388,High
peco pk1 3 phase dol motor starter,DOL Starter,26266,High
Dol Motor Starter Dmc,DOL Starter,26266,High
tower-fan-motor,Tower Fan Motor,443716,High
11 KW 15 HP Crompton Greaves Electric Motor,Crompton Greaves Motor,126348,High
3 Phase Induction Motor,Three Phase Induction Motor,131725,High
Siemens Electric Motor,Siemens Electric Motor,184089,High
3.7 KW 5 HP Crompton Greaves AC motor,Crompton Greaves Motor,126348,High
Crompton,Crompton Greaves Motor,126348,High
Crompton Greaves Industrial Motors,Crompton Greaves Industrial Motors,193884,High
White Motor Starter,Motor Starter,33567,Medium
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2106-4AF10-1MA0 2.7 kW,Siemens Servo Motors,184102,High
CG Three Phase Crompton Greaves Flameproof Motor,Flame Proof Motors,21079,High
Makita HR-2440 Armature By PowerSpeed,Armature,25,High
bldc 50w 24v 3000rpm,Brushless DC Motor,15240,High
Mixer Grinder Motor,Mixer Grinder Motor,84526,High
3000 rpm 24 v bldc 50w 24v 3000rpm,Brushless DC Motor,15240,High
three phase 5 ac induction motor piece 10 hp 1440 rpm Three Phase Induction Motor Cg Make 3 HP,Three Phase Induction Motor,131725,High
motor protection cover,Motor Cover,117875,High
Dwe4235 Armature,Armature,25,High
AM Gold Motor Starter,3 Phase Motor Starter,226794,High
R. S. Series Geared Motors,Gear Motor,29373,High
SIEMENS SIMOTICS S-1FK2 SERVO MOTOR 1FK2104-6AF01-1SB0 1 kW,Siemens Servo Motors,184102,High
3000  rpm 24  v 10 bldc 50w 24v 3000rpm,Brushless DC Motor,15240,High
24  v 10 bldc 50w 24v 3000rpm,Brushless DC Motor,15240,High
makita mt240 cb203a cut off carbon brush,Power Tool Carbon Brush,190885,High
2 hp gear motor,Gear Motor,29373,High
Induction Motor Cg Make,Induction Motors,10971,High
Dual shaft Motor,Motor Shaft,43182,High
ac servo motor 750w,AC Servo Motor,14970,High
ats480c66y,Soft Starters,12256,High
Kirloskar Electric Motor,Kirloskar Electric Motor,185261,High
three  phase 1 ATS480C66Y,Schneider Soft Starters,220183,High
l and t mpower pro mobile motor starter,Mobile Starter,161896,High
zd motor 25 w small ac geared motors 220v,AC Geared Motor,21549,High
kitchen hood motor,Chimney Motor,446121,High
kapcon simi cooler motor,Cooler Motor,52897,High
Jayashree Rotory Encoder Hollow Shaft,Hollow Shaft Encoders,30451,High
20w fan dc motor,Fan Motor,28231,High
Wet Rice Grinders AUE Motors,Wet Grinder Motor,188519,High
Electronic Starter,Electronic Starter,27659,High
AC Synchronous Motors,AC Synchronous Motor,45525,High
Jayashree Encoder  : Hollow Shaft  J-50T,Hollow Shaft Encoders,30451,High
Motor,Electric Motor,1274,High
Remi Centrifuge Carbon Brush,Carbon Brush,903,High
High po re,HT Motor,52914,Medium
volvo & ir l&t case vibration motor shaft,Vibration Motor,2743,Medium
Rawat+Induction+Motors,Rawat Induction Motors,213981,High
havells single phase motor,Havells Electric Motor,189725,High
HAVELLS 3 PHASE MOTORSIE2/IE3,Havells Electric Motor,189725,High
DHARMENDRA,Rawat Induction Motors,213981,Medium
vertical helical gear motor 5 hp,Helical Geared Motor,43308,High
Bosch parts,Bosch Motor Parts,206770,High
Panasonic AC Servo Motor,Panasonic AC Servo Motor,187161,High
squirrel-cage-motors,Squirrel Cage Motors,38675,High
Belimo Damper Actuator,Belimo Actuator,189943,High
Squirrel Cage Induction Motor tefc type,Squirrel Cage Motors,38675,High
fn20c motor,Air Conditioner Motor,186009,High
fireproof motor,Flame Proof Motors,21079,High
Minas A6 Panasonic  Servo Motor & Driver,Panasonic AC Servo Motor,187161,High
Planetary Gear Motor,Planetary Gear Motor,153816,High
Squirrel Cage Induction Motor tefc type 415v,Squirrel Cage Motors,38675,High
vertical helical gear motor,Helical Geared Motor,43308,High
2 advanced features 2 10 hp mobile starter,Mobile Starter,161896,High
Helical Geared Motor,Helical Geared Motor,43308,High
dvd motor,DC Motor,445,High
2 hp three phase induction motor,Three Phase Induction Motor,131725,High
Direct oil immersed starter skn Kelson U Kit Set,Oil Starter,142116,High
Rolling Shutter Motor,Rolling Shutter Motor,77612,High
Delton Three Single Phase Oil Starter,Oil Starter,142116,High
Shaft Encoder,Shaft Encoder,44166,High
CTV 110 Unimotion Servo Motor,Servo Motor,448,High
Crompton Single Phase Motor,Crompton Motors,446133,High
crompton single phase cooler motor,Cooler Motor,52897,High
crompton greaves energy efficient motor,Crompton Greaves Motor,126348,High
180 Watt Electro Magnetic Brake Motor,Brake Motors,21078,High
